Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A4WTT9	FABH_RHOS5	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Rsph17025_1912	Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3)	323
O54438	FABG_PSEAE	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG PA2967	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	247
Q4UK49	FABH_RICFE	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH RF_1235	Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) (Rickettsia azadi)	317
B5XHY5	FABH_STRPZ	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Spy49_1369c	Streptococcus pyogenes serotype M49 (strain NZ131)	324
B0U452	FABA_XYLFM	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA Xfasm12_1731	Xylella fastidiosa (strain M12)	172
P0A3C5	FABH_STRPN	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (SpFabH)	fabH SP_0417	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	324
Q03M55	FABH_STRTD	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH STER_0429	Streptococcus thermophilus (strain ATCC BAA-491 / LMD-9)	320
Q83D51	ACCD_COXBU	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD CBU_0893	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	291
A0LYC3	ACCD_GRAFK	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD GFO_0383	Gramella forsetii (strain KT0803)	285
A8LQQ0	ACP_DINSH	reviewed	Acyl carrier protein (ACP)	acpP Dshi_2181	Dinoroseobacter shibae (strain DSM 16493 / NCIMB 14021 / DFL 12)	77
Q3SWM0	ACCD_NITWN	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Nwi_0053	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	319
A5D014	ACCD_PELTS	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD PTH_2217	Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 / SI)	283
C6GWM7	ACCD_STRS4	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SSUBM407_1671	Streptococcus suis (strain BM407)	288
Q4URQ3	ACP_XANC8	reviewed	Acyl carrier protein (ACP)	acpP XC_3226	Xanthomonas campestris pv. campestris (strain 8004)	79
Q2FF54	ACPS_STAA3	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SAUSA300_2028	Staphylococcus aureus (strain USA300)	119
A7IFZ8	ACCD_XANP2	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Xaut_1696	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	297
Q3YYV3	ACPS_SHISS	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SSON_2687	Shigella sonnei (strain Ss046)	126
Q13EQ0	ACCD_RHOPS	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD RPD_0199	Rhodopseudomonas palustris (strain BisB5)	322
B1JQ48	FABR_YERPY	reviewed	HTH-type transcriptional repressor FabR	fabR YPK_4076	Yersinia pseudotuberculosis serotype O:3 (strain YPIII)	211
A1JI38	FABR_YERE8	reviewed	HTH-type transcriptional repressor FabR	fabR YE0135	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	210
Q87MM2	FADI_VIBPA	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI VP2209	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	435
B0VE46	FADA_ACIBY	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadA ABAYE3471	Acinetobacter baumannii (strain AYE)	390
A3MJ23	FABV_BURM7	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9)	fabV BMA10247_0692	Burkholderia mallei (strain NCTC 10247)	397
B4EKD5	FABV_BURCJ	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9)	fabV BceJ2315_60880 BCAM2650	Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315))	400
A5FE91	FABV_FLAJ1	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9)	fabV Fjoh_3464	Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / UW101) (Cytophaga johnsonae)	396
C4ZVN2	FADJ_ECOBW	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ BWG_2113	Escherichia coli (strain K12 / MC4100 / BW2952)	714
Q13YR8	FABV_PARXL	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9)	fabV Bxeno_A2233 Bxe_A2198	Paraburkholderia xenovorans (strain LB400)	398
B2HPY8	FAA30_MYCMM	reviewed	Long-chain-fatty-acid--AMP ligase FadD30 (FAAL) (EC 6.2.1.-) (Acyl-AMP synthetase)	fadD30 MMAR_0706	Mycobacterium marinum (strain ATCC BAA-535 / M)	589
A7X1J2	FAPR_STAA1	reviewed	Transcription factor FapR (Fatty acid and phospholipid biosynthesis regulator)	fapR SAHV_1218	Staphylococcus aureus (strain Mu3 / ATCC 700698)	185
B7UQ71	FADR_ECO27	reviewed	Fatty acid metabolism regulator protein	fadR E2348C_1306	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	239
B7NV20	FADB_ECO7I	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB ECIAI39_3149	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	729
B7L9A7	FADB_ECO55	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB EC55989_4321	Escherichia coli (strain 55989 / EAEC)	729
A8A6V1	FADB_ECOHS	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB EcHS_A4069	Escherichia coli O9:H4 (strain HS)	729
A7I3D6	FABH_CAMHC	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH CHAB381_1492	Campylobacter hominis (strain ATCC BAA-381 / LMG 19568 / NCTC 13146 / CH001A)	333
Q0SZ36	FADB_SHIF8	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB SFV_3654	Shigella flexneri serotype 5b (strain 8401)	729
Q0STU9	FABH_CLOPS	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH CPR_1136	Clostridium perfringens (strain SM101 / Type A)	324
Q66FR8	FADB_YERPS	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB YPTB0267	Yersinia pseudotuberculosis serotype I (strain IP32953)	729
A4VKR6	FABA_PSEU5	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA PST_1893	Pseudomonas stutzeri (strain A1501)	171
P71534	FABG_MYCS2	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG MSMEG_3150 MSMEI_3069	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	255
Q1RKA5	FABH_RICBR	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH RBE_0128	Rickettsia bellii (strain RML369-C)	317
Q57QT6	FABA_SALCH	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA SCH_1019	Salmonella choleraesuis (strain SC-B67)	172
Q1AW87	FABH_RUBXD	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Rxyl_1378	Rubrobacter xylanophilus (strain DSM 9941 / NBRC 16129)	315
A1S606	FABA_SHEAM	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA Sama_1605	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	171
P72392	FABH1_STRCO	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III protein 1) (Beta-ketoacyl-ACP synthase III 1) (KAS III 1)	fabH1 SCO2388 SC4A7.16	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	343
Q8A137	FABH2_BACTN	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III protein 2) (Beta-ketoacyl-ACP synthase III 2) (KAS III 2)	fabH2 BT_3834	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	335
Q9ZBV4	FABH4_STRCO	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 4 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III protein 4) (Beta-ketoacyl-ACP synthase III 4) (KAS III 4)	fabH4 SCO6564 SC4B5.14	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	316
Q49WB6	FABH_STAS1	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH SSP1798	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)	313
A6U7Q5	FABH_SINMW	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Smed_0829	Sinorhizobium medicae (strain WSM419) (Ensifer medicae)	323
B8ZLI3	FABH_STRPJ	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH SPN23F03920	Streptococcus pneumoniae (strain ATCC 700669 / Spain 23F-1)	324
P94123	ACP_AZOBR	reviewed	Acyl carrier protein (ACP)	acpP acpF	Azospirillum brasilense	79
P57433	ACP_BUCAI	reviewed	Acyl carrier protein (ACP)	acpP BU352	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	80
Q11HG4	ACP_CHESB	reviewed	Acyl carrier protein (ACP)	acpP Meso_1767	Chelativorans sp. (strain BNC1)	78
A5VK70	ACCD_LACRD	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Lreu_0983	Lactobacillus reuteri (strain DSM 20016)	254
Q31YE2	ACCD_SHIBS	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SBO_2353	Shigella boydii serotype 4 (strain Sb227)	304
B2VDK4	ACP_ERWT9	reviewed	Acyl carrier protein (ACP)	acpP ETA_20210	Erwinia tasmaniensis (strain DSM 17950 / CIP 109463 / Et1/99)	78
B5E8U3	ACP_GEOBB	reviewed	Acyl carrier protein (ACP)	acpP Gbem_3105	Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622)	77
C3M9B6	ACP_SINFN	reviewed	Acyl carrier protein (ACP)	acpP NGR_c08920	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	78
Q73NX6	ACP_TREDE	reviewed	Acyl carrier protein (ACP)	acpP TDE_1026	Treponema denticola (strain ATCC 35405 / CIP 103919 / DSM 14222)	78
Q1JA97	ACCD_STRPB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD MGAS2096_Spy1512	Streptococcus pyogenes serotype M12 (strain MGAS2096)	288
Q0I9G1	ACCD_SYNS3	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD sync_1707	Synechococcus sp. (strain CC9311)	292
Q8D8G9	ACP_VIBVU	reviewed	Acyl carrier protein (ACP)	acpP VV1_3008	Vibrio vulnificus (strain CMCP6)	78
Q9EZI1	ACP_XANAL	reviewed	Acyl carrier protein (ACP)	acpP	Xanthomonas albilineans	79
A5F2T5	ACCD_VIBC3	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD VC0395_A0521 VC395_1015	Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395)	308
B1JGI4	ACCD_YERPY	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD YPK_1531	Yersinia pseudotuberculosis serotype O:3 (strain YPIII)	304
Q5XAA3	ACPS_STRP6	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS M6_Spy1525	Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394)	118
A1BD29	ACCA_CHLPD	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Cpha266_0239	Chlorobium phaeobacteroides (strain DSM 266)	333
Q48RM7	ACPS_STRPM	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS M28_Spy1523	Streptococcus pyogenes serotype M28 (strain MGAS6180)	118
A9N478	ACCD_SALPB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SPAB_00604	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	304
A6QC95	ACCA_SULNB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA SUN_2164	Sulfurovum sp. (strain NBC37-1)	312
Q7U5H1	ACCA_SYNPX	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA SYNW1736	Synechococcus sp. (strain WH8102)	329
Q3SKU1	ACPS_THIDA	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Tbd_0728	Thiobacillus denitrificans (strain ATCC 25259)	131
B5YIK7	ACCA_THEYD	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA THEYE_A0319	Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87)	328
Q47HT1	ACCA_DECAR	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Daro_0844	Dechloromonas aromatica (strain RCB)	322
B8FTK8	ACCA_DESHD	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Dhaf_2414	Desulfitobacterium hafniense (strain DCB-2 / DSM 10664)	319
C1CIS8	ACCA_STRZP	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA SPP_0458	Streptococcus pneumoniae (strain P1031)	255
A0PU93	ACPS_MYCUA	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS MUL_3817	Mycobacterium ulcerans (strain Agy99)	130
Q24XY7	ACCA_DESHY	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA DSY1316	Desulfitobacterium hafniense (strain Y51)	319
P0A0Q5	ACPS_NEIMB	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS dpj NMB0452	Neisseria meningitidis serogroup B (strain MC58)	125
A7HX46	ACPS_PARL1	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Plav_2872	Parvibaculum lavamentivorans (strain DS-1 / DSM 13023 / NCIMB 13966)	133
O34544	ACCC2_BACSU	reviewed	Biotin carboxylase 2 (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A 2) (ACC 2) (EC 6.4.1.2)	accC2 accC yngH BSU18240	Bacillus subtilis (strain 168)	444
C4L132	ACPS_EXISA	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS EAT1b_2072	Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)	122
Q39UG1	ACPS_GEOMG	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Gmet_1884	Geobacter metallireducens (strain GS-15 / ATCC 53774 / DSM 7210)	126
P0A1C3	ACCA_SALTY	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA STM0232	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	319
Q0BTG4	ACPS_GRABC	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS GbCGDNIH1_0990	Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1)	145
C5D4D1	ACPS_GEOSW	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS GWCH70_0208	Geobacillus sp. (strain WCH70)	119
Q636H2	FAPR_BACCZ	reviewed	Transcription factor FapR (Fatty acid and phospholipid biosynthesis regulator)	fapR BCE33L3613	Bacillus cereus (strain ZK / E33L)	197
Q1JKF0	ACCA_STRPC	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA MGAS9429_Spy1486	Streptococcus pyogenes serotype M12 (strain MGAS9429)	256
B2GJ30	ACPS_KOCRD	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS KRH_06530	Kocuria rhizophila (strain ATCC 9341 / DSM 348 / NBRC 103217 / DC2201)	123
Q9CH95	ACPS_LACLA	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS LL0843 L61355	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	119
B2G5M8	ACPS_LACRJ	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS LAR_0244	Lactobacillus reuteri (strain JCM 1112)	120
B0SE17	ACPS_LEPBA	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS LBF_2564	Leptospira biflexa serovar Patoc (strain Patoc 1 / Ames)	127
B8I4V6	FABV_CLOCE	reviewed	Trans-2-enoyl-CoA reductase [NADH] (TER) (EC 1.3.1.44)	fabV Ccel_2273	Clostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10)	395
Q8DKL4	FABH_THEEB	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH tlr0845	Thermosynechococcus elongatus (strain BP-1)	329
A1JMS5	FABA_YERE8	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA YE1578	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	172
P0A3C6	FABH_STRR6	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (SpFabH)	fabH spr0377	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	324
Q5L605	ACP_CHLAB	reviewed	Acyl carrier protein (ACP)	acpP CAB473	Chlamydia abortus (strain DSM 27085 / S26/3) (Chlamydophila abortus)	78
Q5QUD9	ACCD_IDILO	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD IL1016	Idiomarina loihiensis (strain ATCC BAA-735 / DSM 15497 / L2-TR)	292
A6TC02	ACCD_KLEP7	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD KPN78578_26620 KPN_02706	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	306
